date_time,Station_ID,WS_62_mean,WS_62_min,WS_62_max,WS_62_stdv,WS_60_mean,WS_60_min,WS_60_max,WS_60_stdv,WS_40a_mean,WS_40a_min,WS_40a_max,WS_40a_stdv,WS_20_mean,WS_20_min,WS_20_max,WS_20_stdv,WS_10_mean,WS_10_min,WS_10_max,WS_10_stdv,WD_60_mean,WD_60_min,WD_60_max,WD_60_stdv,WD_20_mean,WD_20_min,WD_20_max,WD_20_stdv,Tair_mean,Tair_min,Tair_max,Tair_stdv,Tgrad_mean,Tgrad_min,Tgrad_max,Tgrad_stdv,Pbaro_mean,Pbaro_min,Pbaro_max,Pbaro_stdv,RH_mean,RH_min,RH_max,RH_stdv,,year,month
2018-01-01 00:10:00, WM05,13.8111,10.4633,16.6744,1.236,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,12.8276,9.5434,15.4525,1.1538,11.3656,7.6477,14.4753,1.3556,9.7277,6.1512,13.9806,1.5183,279.22,257.62,297.02,5.0360000000000005,277.52,256.32,295.12,6.7860000000000005,14.47,14.39,14.56,0.0294,-0.242,-0.29600000000000004,-0.153,0.032,975.5,975.1,975.7,0.1159,100.0,100.0,100.0,0.1988,,2018,1
2018-01-01 00:20:00, WM05,12.5254,9.2211,16.9849,1.4317,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,11.6022,8.6104,15.1415,1.3012,10.1615,6.7167,13.8546,1.4040000000000001,8.713,5.5249,12.1016,1.465,277.72,261.32,293.02,5.486000000000001,276.32,253.52,293.02,6.422000000000001,14.36,14.23,14.49,0.0527,-0.22699999999999998,-0.29600000000000004,-0.153,0.019,975.5,975.0,975.7,0.0923,100.0,100.0,100.0,0.3627,,2018,1
2018-01-01 00:30:00, WM05,14.2024,10.1527,17.9166,1.454,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,12.9271,8.6104,16.3855,1.4069999999999998,11.3718,7.3374,15.7167,1.5821,9.8592,4.8985,13.6674,1.6329,274.02,255.02,290.42,5.593,273.22,251.22,294.02,6.331,14.36,14.23,14.47,0.0553,-0.22899999999999998,-0.29600000000000004,-0.153,0.024,975.4,975.1,975.7,0.0975,100.0,100.0,100.0,0.8690000000000001,,2018,1
2018-01-01 00:40:00, WM05,13.6185,9.5316,18.5377,1.6018,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,12.6596,8.2994,16.3855,1.5003,11.3842,7.957999999999999,16.3374,1.579,9.8843,6.4644,15.5465,1.6486,276.52,260.82,292.92,5.4910000000000005,275.82,259.02,311.72,6.4639999999999995,14.44,14.37,14.56,0.0374,-0.225,-0.29600000000000004,-0.11699999999999999,0.026000000000000002,975.4,975.0,975.6,0.0974,100.0,100.0,100.0,0.8859999999999999,,2018,1
2018-01-01 00:50:00, WM05,13.5316,10.4633,16.6744,1.364,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,12.6286,9.5434,17.0075,1.3044,11.1422,7.6477,14.4753,1.345,9.5335,5.5249,13.3543,1.4375,280.72,267.92,296.12,4.787,279.92,263.62,302.92,6.407,14.42,14.32,14.52,0.0365,-0.231,-0.29600000000000004,-0.153,0.025,975.4,974.9,975.6,0.0953,100.0,100.0,100.0,0.3475,,2018,1
2018-01-01 01:00:00, WM05,13.4011,8.6,17.9166,1.5602,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,12.5912,7.9884,16.6965,1.4368,11.3532,7.3374,14.7856,1.5325,9.878,6.1512,13.9806,1.5872,284.22,270.42,298.12,5.186,284.22,260.52,312.92,6.925,14.45,14.32,14.58,0.0526,-0.275,-0.29600000000000004,-0.22399999999999998,0.031,975.4,974.8,975.7,0.1112,100.0,100.0,100.0,0.7346,,2018,1
2018-01-01 01:10:00, WM05,13.6931,10.1527,17.2955,1.3609,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,12.6907,9.2324,16.0745,1.4008,11.4339,7.6477,15.7167,1.4263,9.7528,6.1512,13.3543,1.5133,278.12,260.62,294.12,5.684,278.72,257.72,297.72,7.188,14.39,14.29,14.49,0.0382,-0.222,-0.29600000000000004,-0.11699999999999999,0.02,975.4,975.1,975.7,0.0973,100.0,100.0,100.0,1.3719999999999999,,2018,1
2018-01-01 01:20:00, WM05,13.3577,7.9788,18.8483,1.5304,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,12.5663,9.2324,16.3855,1.3174,11.2787,7.957999999999999,15.095999999999998,1.4580000000000002,9.7841,5.5249,13.6674,1.646,272.32,250.32,291.02,7.13,273.82,240.92,297.32,8.39,14.35,14.25,14.49,0.0426,-0.24,-0.29600000000000004,-0.153,0.031,975.6,975.2,975.9,0.1287,100.0,100.0,100.0,0.6609,,2018,1
2018-01-01 01:30:00, WM05,17.047,12.3266,21.6433,1.6664,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,15.7573,9.8544,19.4955,1.5923,14.0843,9.5098,18.8201,1.7603,12.2268,7.4039,17.1124,1.6937,261.72,245.22,279.02,5.949,260.22,242.62,278.62,6.768,14.09,13.79,14.39,0.1581,-0.28800000000000003,-0.36700000000000005,-0.153,0.047,975.9,975.5,976.1,0.0849,100.0,100.0,100.0,1.625,,2018,1
2018-01-01 01:40:00, WM05,14.6371,10.1527,18.8483,1.9006,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,13.4994,8.6104,17.6295,1.8604,11.9553,7.6477,17.2684,1.8211,10.4605,6.4644,14.9201,1.8822,269.52,253.32,284.62,4.618,267.12,252.32,282.52,5.766,13.64,13.38,13.86,0.1154,-0.29100000000000004,-0.36700000000000005,-0.22399999999999998,0.035,975.8,975.5,976.1,0.0818,100.0,100.0,100.0,1.111,,2018,1
2018-01-01 01:50:00, WM05,14.3763,10.7738,17.605999999999998,1.4627,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,13.1199,9.8544,17.0075,1.4835,11.5705,7.3374,15.7167,1.4965,10.1787,6.1512,13.9806,1.5358,274.82,255.32,287.82,4.306,271.72,250.92,289.32,6.165,13.39,13.27,13.54,0.0576,-0.28600000000000003,-0.36700000000000005,-0.22399999999999998,0.038,975.8,975.6,976.0,0.0895,100.0,100.0,100.0,0.0741,,2018,1
2018-01-01 02:00:00, WM05,13.4384,10.1527,18.2272,1.4801,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,12.4295,9.2324,16.6965,1.4238,11.4836,8.2684,14.7856,1.3152,10.1599,6.7776,13.3543,1.3924,274.02,259.62,285.92,4.181,272.52,254.52,288.82,5.415,13.48,13.33,13.61,0.0652,-0.275,-0.29600000000000004,-0.22399999999999998,0.03,975.8,975.4,976.0,0.0912,100.0,100.0,100.0,0.0777,,2018,1
2018-01-01 02:10:00, WM05,12.7303,10.1527,15.4322,1.0515,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,11.7515,9.2324,14.5195,1.0929,10.2484,6.096,13.2339,1.3047,8.8947,5.2117,11.7884,1.383,276.02,262.92,287.12,4.257,274.22,257.52,293.22,5.888,13.38,13.27,13.49,0.0376,-0.226,-0.29600000000000004,-0.11699999999999999,0.019,975.7,975.5,975.8,0.0705,100.0,100.0,100.0,0.1437,,2018,1
2018-01-01 02:20:00, WM05,12.2769,9.8422,15.4322,1.0255,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,11.2912,8.6104,13.8974,0.9411,10.1181,6.7167,12.6132,1.1439,8.7318,5.5249,11.7884,1.1938,275.42,263.92,284.02,3.786,273.52,252.02,298.32,5.78,13.43,13.35,13.5,0.0284,-0.221,-0.22399999999999998,-0.153,0.011000000000000001,975.6,975.3,975.8,0.0689,100.0,100.0,100.0,0.0896,,2018,1
2018-01-01 02:30:00, WM05,11.1403,8.2894,13.5688,0.9323,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,9.8855,7.6773,12.6534,1.0002,8.6843,6.096,11.9925,1.0639,7.4791,4.8985,10.8489,1.1713,277.02,262.72,293.22,4.64,274.02,252.32,291.72,6.069,13.45,13.37,13.54,0.035,-0.22,-0.22399999999999998,-0.153,0.013000000000000001,975.6,975.3,975.7,0.0599,100.0,100.0,100.0,0.1517,,2018,1
2018-01-01 02:40:00, WM05,11.2272,8.2894,13.5688,1.0478,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,10.2525,7.6773,12.6534,0.9423,8.7587,5.7856,11.3718,1.1439,7.3413,4.5854,10.5357,1.2915,277.12,264.32,291.22,4.487,274.82,258.82,292.62,5.892,13.56,13.45,13.64,0.0424,-0.222,-0.26,-0.18899999999999997,0.01,975.6,975.4,975.8,0.0547,100.0,100.0,100.0,0.0634,,2018,1
2018-01-01 02:50:00, WM05,11.3949,8.9105,14.1899,0.9428,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,10.6381,7.9884,13.5864,0.9311,9.4105,6.7167,12.3029,1.1619,8.1117,5.2117,11.7884,1.2508,276.52,264.52,287.42,4.122,274.92,258.22,303.92,5.732,13.61,13.52,13.67,0.0322,-0.218,-0.22399999999999998,-0.11699999999999999,0.015,975.6,975.3,975.7,0.0695,100.0,100.0,100.0,0.2478,,2018,1
2018-01-01 03:00:00, WM05,11.4198,9.2211,13.5688,0.8478,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,10.3395,7.9884,12.3424,0.8658,8.8953,6.4063,11.0615,0.8702,7.5417,5.2117,9.9093,0.9633,277.52,265.42,292.22,4.0760000000000005,275.02,253.82,290.32,5.651,13.58,13.5,13.66,0.0299,-0.218,-0.22399999999999998,-0.153,0.013999999999999999,975.5,975.3,975.7,0.0643,100.0,100.0,100.0,0.3632,,2018,1
2018-01-01 03:10:00, WM05,11.2645,8.2894,14.1899,0.9534,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,10.2214,7.3663,12.6534,1.0531,8.976,5.4753,12.6132,1.3289,7.7923,3.9589999999999996,11.7884,1.2784,279.02,268.22,292.82,4.246,277.32,255.92,296.12,5.731,13.62,13.52,13.72,0.0365,-0.222,-0.22399999999999998,-0.153,0.009000000000000001,975.5,975.2,975.7,0.0767,100.0,100.0,100.0,0.166,,2018,1
2018-01-01 03:20:00, WM05,10.3018,7.6683,13.2583,1.0124,0.20879999999999674,0.20879999999999674,0.20879999999999674,0.0,9.6242,7.0553,12.0314,0.9473,8.5725,6.096,11.3718,1.1036,7.5731,4.2722,10.5357,1.1888,264.32,245.42,285.52,8.73,261.32,241.32,287.62,10.33,13.67,13.57,13.78,0.037000000000000005,-0.262,-0.29600000000000004,-0.22399999999999998,0.033,975.7,975.4,975.9,0.1022,100.0,100.0,100.0,0.0753,,2018,1
